timestamp,heart_rate,source
2026-01-12T08:30:00-06:00,72,Apple Watch
2026-01-12T08:35:00-06:00,73,Apple Watch
2026-01-12T08:40:00-06:00,71,Apple Watch
2026-01-12T08:45:00-06:00,74,Apple Watch
2026-01-12T08:50:00-06:00,73,Apple Watch
2026-01-12T08:55:00-06:00,72,Apple Watch
2026-01-12T09:00:00-06:00,83,Apple Watch
2026-01-12T09:05:00-06:00,91,Apple Watch
2026-01-12T09:10:00-06:00,96,Apple Watch
2026-01-12T09:15:00-06:00,94,Apple Watch
2026-01-12T09:20:00-06:00,89,Apple Watch
2026-01-12T09:25:00-06:00,85,Apple Watch
2026-01-12T12:30:00-06:00,78,Apple Watch
2026-01-12T12:35:00-06:00,77,Apple Watch
2026-01-12T12:40:00-06:00,76,Apple Watch
2026-01-12T12:45:00-06:00,77,Apple Watch
2026-01-12T12:50:00-06:00,76,Apple Watch
2026-01-12T12:55:00-06:00,77,Apple Watch
2026-01-12T13:00:00-06:00,75,Apple Watch
2026-01-12T13:05:00-06:00,74,Apple Watch
2026-01-12T13:10:00-06:00,75,Apple Watch
2026-01-12T13:15:00-06:00,73,Apple Watch
2026-01-12T13:20:00-06:00,74,Apple Watch
2026-01-12T13:25:00-06:00,75,Apple Watch

